id;description;service_outlet_code;account_name;account_number;transaction_date;transaction_amount;increment_account;originating_file_token
1;mobile Fish;Home Loan Account Table Computer;Checking Account;FTP Savings Account;2019-08-27T16:48:56;65088;false;Producer
2;Implementation Electronics Officer;methodology Albania;Investment Account;intangible;2019-08-27T19:07:29;39986;false;zero administration
3;Multi-channelled Licensed;grey Cambridgeshire;Home Loan Account;Refined Rubber Chicken Table;2019-08-28T08:14:53;1326;true;Planner cross-platform access
4;Public-key;infomediaries;Checking Account;Buckinghamshire Games;2019-08-27T11:59:09;39106;false;invoice
5;convergence;Mayotte;Savings Account;Facilitator;2019-08-27T15:12:22;44975;true;Chief Credit Card Account
6;archive Georgia Aruba;software scale interactive;Auto Loan Account;compelling mission-critical;2019-08-27T20:47:05;27599;false;back-end
7;Industrial;index orange;Checking Account;overriding;2019-08-27T16:50:41;71134;true;quantify Unbranded Plastic Tuna Frozen
8;generating Highway Ergonomic;moratorium moratorium;Credit Card Account;withdrawal COM;2019-08-27T22:28:34;38292;false;bus synthesize Idaho
9;Networked Sleek Metal Table Small;Intelligent Outdoors;Credit Card Account;knowledge base Buckinghamshire;2019-08-27T12:01:40;13933;false;relationships override
10;Brand;neutral Salad;Personal Loan Account;virtual deposit;2019-08-27T12:53:40;45653;true;maroon
