id;service_outlet_name;service_outlet_code;service_outlet_location;service_outlet_manager;number_of_staff;building;floor;postal_address;contact_person_name;contact_email;street;originating_file_token
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;2058;Producer;83244;red Chips Soap;Home Loan Account;web-readiness;Leopold Glens;Steel zero administration
2;Multi-channelled Licensed;grey Cambridgeshire;Canyon HDD;Table Small Frozen Sausages Planner;80839;access Intelligent;68423;infomediaries;Investment Account;Games Regional Digitized;Elvis Prairie;Costa Rica Mayotte
3;Industrial;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;38867;interactive generating compelling;28093;Faroe Islands Plastic;Car Industrial deliverables;orange Books;Quigley Stravenue;application quantify Unbranded Plastic Tuna
4;Internal;Investment Account archive Fantastic Plastic Chicken;payment;withdrawal COM;47221;Frozen bus;76078;Idaho compress Avon;system Small;Intelligent Outdoors;Haley Points;Buckinghamshire Corporate
5;Investment Account;override User-centric;Money Market Account;Salad Web virtual;63340;RSS;80367;maroon;EXE projection Fresh;support Gorgeous;Hertha Flats;copying
6;ability Hat Iraq;magenta Concrete;User-centric Gloves;Mauritania;70301;robust Engineer;96244;Quality-focused;card Plastic;Computers Personal Loan Account Berkshire;Gottlieb Cape;Investor Public-key
7;Lebanon;Designer Persistent;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;53577;Licensed hacking installation;18651;Refined Rubber Gloves Algerian Dinar Clothing;open-source turn-key;Sausages;Howe Rest;Creative Metal
8;bandwidth azure;SMS Enhanced;Bacon Designer;Equatorial Guinea Vision-oriented;9310;Customer Human deposit;33902;cross-media;programming SCSI drive;invoice Unbranded Cheese;Lemuel Turnpike;Tools Unbranded
9;Supervisor clear-thinking;Latvia;Ports Manager Fish;Networked;32539;navigate;64963;calculating withdrawal Nevada;Berkshire;dedicated Persevering;Glen Walk;Human withdrawal
10;dot-com payment Libyan Dinar;white sensor local;calculate;Chips;94045;Response Human;37015;Automotive Tactics architectures;Wisconsin Facilitator Incredible;reinvent;Halvorson Summit;Pants Maryland
