id;account_number;account_name;prepayment_id;prepayment_date;particulars;service_outlet;prepayment_amount;months;supplier_name;invoice_number;scanned_document_id;originating_file_token
1;mobile Fish;Auto Loan Account;Savings Account Dam;2019-08-28T07:33:33;Trace;Savings Account alarm;2058;5641;transmitter Implementation Electronics;Soap methodology Albania;43194;intangible
2;enable Gorgeous Frozen Pants;Savings Account;Licensed Savings Account;2019-08-28T00:46:46;Planner Canyon;Credit Card Account Table Small Frozen Sausages;96563;56328;envisioneer Music Public-key;infomediaries;12203;Buckinghamshire Games
3;incentivize Tuna copy;Investment Account;sky blue Georgia;2019-08-28T09:12:25;synthesizing Views e-enable;Credit Card Account National Awesome;19598;52083;Tactics;scale interactive generating;35675;mission-critical Faroe Islands Plastic
4;Car Industrial deliverables;Investment Account;24 hour;2019-08-28T09:37:14;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;86310;85003;Highway Ergonomic;moratorium moratorium;72960;withdrawal COM
5;embrace Developer;Auto Loan Account;hard drive Robust Networked;2019-08-28T08:59:17;system Small;Intelligent Outdoors;63641;47537;Montana;Corporate Phased relationships;75555;User-centric
6;Money Market Account;Credit Card Account;JSON;2019-08-27T18:58:27;modular Refined Squares;maroon;89255;88328;projection Fresh;support Gorgeous;22793;synergies copying
7;ability Hat Iraq;Investment Account;Bahamian Dollar;2019-08-28T03:29:33;User-centric Gloves;Mauritania;70301;40383;Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;3688;Personal Loan Account
8;paradigms Home;Money Market Account;deposit Canadian Dollar Lebanon;2019-08-27T23:12:42;Dominican Republic Credit Card Account Handmade;Ergonomic transmitter;36778;47030;Orchestrator deliver;Licensed hacking installation;18651;Refined Rubber Gloves Algerian Dinar Clothing
9;open-source turn-key;Checking Account;Quality;2019-08-28T00:25:01;Cambridgeshire hacking;bricks-and-clicks Concrete Global;87733;69578;Profound;parsing;55520;Equatorial Guinea Vision-oriented
10;Agent;Home Loan Account;THX pink even-keeled;2019-08-27T17:09:00;programming SCSI drive;invoice Unbranded Cheese;89855;66898;Alabama transform;invoice Home Gloves;54873;Cayman Islands Dollar invoice
