id;account_name;particulars;amortization_service_outlet_code;prepayment_service_outlet_code;prepayment_account_number;expense_account_number;prepayment_transaction_id;prepayment_transaction_date;prepayment_transaction_amount;amortization_amount;number_of_amortizations;first_amortization_date;monthly_amortization_date;upload_successful;upload_orphaned;originating_file_token
1;Money Market Account;Directives application Home Loan Account;Dam;Practical Fresh Pants;Metal deposit;Producer;Implementation Electronics Officer;2019-08-24T19:27:14;30424;61165;52475;2019-08-25T10:06:13;43194;false;false;Investment Account Steel
2;Money Market Account;24/7 Common bluetooth;syndicate;Mississippi Refined Rubber Chicken Table;Automotive;Planner cross-platform access;Public-key;2019-08-25T04:29:19;44015;68326;12203;2019-08-24T19:38:01;49517;true;false;Regional
3;Money Market Account;invoice;convergence;Mayotte;Industrial;connect Markets Chief;capacitor archive;2019-08-24T20:34:58;19598;52083;4522;2019-08-24T11:12:19;32533;true;false;interactive generating compelling
4;Money Market Account;Faroe Islands Plastic;Car Industrial deliverables;orange Books;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;2019-08-25T01:22:25;31098;66884;32518;2019-08-24T18:17:29;72960;true;true;COM
5;Investment Account;Frozen bus;hard drive Robust Networked;Poland;Small partnerships;Outdoors;Harbor Montana;2019-08-24T17:34:52;90756;13933;24929;2019-08-24T19:46:03;41038;true;true;User-centric
6;Checking Account;neutral Salad;Auto Loan Account modular Refined;digital maroon;EXE projection Fresh;support Gorgeous;withdrawal;2019-08-25T10:15:39;81801;35256;86073;2019-08-25T02:57:31;695;false;true;supply-chains magenta
7;Checking Account;24/7;Gloves sky blue Oklahoma;robust Engineer;Exclusive Moroccan Dirham card;zero tolerance;mission-critical;2019-08-24T10:50:05;50267;41103;5147;2019-08-25T09:28:48;27864;false;true;Public-key Granite
8;Investment Account;Designer Persistent;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;bypassing optical;installation;Argentine Peso;2019-08-24T13:40:22;59089;32595;67756;2019-08-25T04:59:15;1658;true;true;Future-proofed deposit Sausages
9;Credit Card Account;synthesize Creative;Forint;Concrete Global SMS;Profound;parsing;Borders content-based;2019-08-24T10:21:48;9310;96541;89721;2019-08-24T20:52:28;90041;true;true;B2B
10;Money Market Account;bus Internal AI;THX bypassing Marketing;Dynamic Home Loan Account Tools;Branding;Home Gloves Latvia;Ports Manager Fish;2019-08-25T09:50:22;23724;49389;32539;2019-08-25T05:58:54;74649;false;true;calculating withdrawal Nevada
