id;amortization_date;amortization_amount;particulars;prepayment_service_outlet;prepayment_account_number;amortization_service_outlet;amortization_account_number;originating_file_token;amortization_tag;orphaned;date_of_update;reason_for_update
1;2019-09-27T01:06:59;79654;Fish multi-byte Savings Account;Computer Practical Fresh Pants;Metal deposit;Producer;Implementation Electronics Officer;methodology Albania;Home Namibia;false;2019-09-27T06:45:27;zero administration
2;2019-09-27T01:18:46;23277;Licensed Savings Account;Cambridgeshire Mississippi;HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;infomediaries;Investment Account;true;2019-09-27T09:16:48;Regional
3;2019-09-27T03:53:41;18223;copy convergence;Mayotte;Industrial;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;true;2019-09-27T01:32:36;mission-critical Faroe Islands Plastic
4;2019-09-26T14:51:10;16526;Industrial;index orange;Jewelery;monitor;1080p Checking Account Identity;Frozen IB;Highway Ergonomic;false;2019-09-27T02:38:31;moratorium pixel withdrawal
5;2019-09-26T12:48:45;56124;embrace Developer;synthesize Idaho compress;Sleek Metal Table Small;Intelligent Outdoors;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account;true;2019-09-27T06:14:10;Web virtual deposit
6;2019-09-26T13:11:26;45653;mint green e-business EXE;back-end;granular Direct contextually-based;synergies copying;ability Hat Iraq;magenta Concrete;User-centric Gloves;false;2019-09-26T21:39:16;Kenyan Shilling robust
7;2019-09-26T10:46:58;25391;Exclusive Moroccan Dirham card;zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;Canadian Dollar;Berkshire Designer;Credit Card Account;false;2019-09-26T15:49:36;Ergonomic transmitter
8;2019-09-27T01:16:43;47030;Orchestrator deliver;Licensed hacking installation;Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;true;2019-09-27T01:55:11;Concrete Global SMS
9;2019-09-27T03:54:53;22855;Bacon Designer;Equatorial Guinea Vision-oriented;Agent;Human deposit;even-keeled Saint Helena Pound;Internal AI optical;bypassing Marketing;true;2019-09-26T12:32:25;Home Loan Account Tools Unbranded
10;2019-09-26T18:10:53;97366;clear-thinking;Latvia;Ports Manager Fish;Networked;Fish;payment calculating;local area network Benin;true;2019-09-27T01:16:49;dedicated Persevering
